Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price
HDFC,EQ,5-Jul-19,2280.25,2281.25,2300.7,2266.6,2270,2278.9,2284.65
HDFC,EQ,8-Jul-19,2278.9,2269.9,2275.55,2243.3,2263.1,2259.95,2259.59
HDFC,EQ,9-Jul-19,2259.95,2248.85,2248.85,2197.25,2240,2232.8,2220.71
HDFC,EQ,10-Jul-19,2232.8,2232,2253.4,2220,2230.95,2227.75,2232.59
HDFC,EQ,11-Jul-19,2227.75,2240,2269.3,2231.1,2260.65,2261.9,2254.42
HDFC,EQ,12-Jul-19,2261.9,2270,2282,2250.75,2250.8,2257.8,2271.09
HDFC,EQ,15-Jul-19,2257.8,2255.9,2271,2236.4,2270,2265.35,2259.05
HDFC,EQ,16-Jul-19,2265.35,2270,2284.8,2256.95,2277.55,2277.55,2272.13
HDFC,EQ,17-Jul-19,2277.55,2277,2289.45,2277,2285.4,2286.7,2284.73
HDFC,EQ,18-Jul-19,2286.7,2287.95,2357.85,2285.55,2338,2345.15,2332.67
HDFC,EQ,19-Jul-19,2345.15,2332,2339,2292.8,2302,2303.55,2313.11
HDFC,EQ,22-Jul-19,2303.55,2287,2298,2180.2,2182.3,2186.9,2201.94
HDFC,EQ,23-Jul-19,2186.9,2181.4,2189.75,2126.05,2140,2138.5,2143.22
HDFC,EQ,24-Jul-19,2138.5,2140,2188.85,2140,2179.9,2184.25,2175.12
HDFC,EQ,25-Jul-19,2184.25,2184.1,2215.2,2161.3,2194,2195.35,2196.99
HDFC,EQ,26-Jul-19,2195.35,2193.75,2197.8,2159.4,2165,2165.75,2178.06
HDFC,EQ,29-Jul-19,2165.75,2162.8,2174.95,2110,2160,2149,2142.3
HDFC,EQ,30-Jul-19,2149,2150,2158.3,2113.35,2125.5,2127.25,2132.05
HDFC,EQ,31-Jul-19,2127.25,2110.25,2131.95,2107.7,2123.15,2121.8,2119.57
HDFC,EQ,1-Aug-19,2121.8,2115.2,2115.9,2063.8,2085.1,2086.8,2083.17
HDFC,EQ,2-Aug-19,2086.8,2075.25,2148.65,2039.35,2135.75,2124.8,2097.26
HDFC,EQ,5-Aug-19,2124.8,2115,2159.45,2107.75,2151.7,2152.35,2132.6
HDFC,EQ,6-Aug-19,2152.35,2146.05,2217.65,2136.55,2185.1,2189.9,2179.27
HDFC,EQ,7-Aug-19,2189.9,2189.8,2198.95,2161.7,2171,2175.2,2178.88
HDFC,EQ,8-Aug-19,2175.2,2183.9,2187.7,2152,2176.3,2182.3,2167.66
HDFC,EQ,9-Aug-19,2182.3,2192.7,2240,2178.75,2214,2211.65,2222.52
HDFC,EQ,13-Aug-19,2211.65,2196.1,2209.65,2092.45,2101.85,2100.1,2136.79
HDFC,EQ,14-Aug-19,2100.1,2129,2146,2105.25,2113.9,2117.7,2125.76
HDFC,EQ,16-Aug-19,2117.7,2160,2162,2092.5,2099,2100,2114.45
HDFC,EQ,19-Aug-19,2100,2114.45,2135,2098.1,2110.9,2114.05,2118.78
HDFC,EQ,20-Aug-19,2114.05,2112.35,2114.9,2075,2090.8,2090.1,2099.65
HDFC,EQ,21-Aug-19,2090.1,2096,2099.95,2062.95,2069,2066.9,2079.25
HDFC,EQ,22-Aug-19,2066.9,2066,2073.5,2007.95,2012.3,2014.1,2034.79
HDFC,EQ,23-Aug-19,2014.1,1999,2058.05,1973,2057.1,2043.75,2019.52
HDFC,EQ,26-Aug-19,2043.75,2088,2152.95,2060,2150,2148.35,2112.51
HDFC,EQ,27-Aug-19,2148.35,2158,2186.75,2144.7,2182.6,2174.3,2171.77
HDFC,EQ,28-Aug-19,2174.3,2174,2193.6,2155.75,2189.9,2187.15,2177.34
HDFC,EQ,29-Aug-19,2187.15,2176,2179,2120.4,2129.7,2128.45,2140.01
HDFC,EQ,30-Aug-19,2128.45,2137.7,2171.25,2118,2165,2166.45,2149.86
HDFC,EQ,3-Sep-19,2166.45,2141,2144.7,2083,2088.45,2089.9,2100.34
HDFC,EQ,4-Sep-19,2089.9,2091.65,2113.1,2072.7,2099.75,2100.1,2095.5
HDFC,EQ,5-Sep-19,2100.1,2100,2100,2040,2041,2044.15,2054.36
HDFC,EQ,6-Sep-19,2044.15,2056.45,2056.45,2023,2044,2041.45,2037.08
HDFC,EQ,9-Sep-19,2041.45,2044.45,2069.95,2029,2066.7,2064.25,2060.07
HDFC,EQ,11-Sep-19,2064.25,2072,2086.55,2053.1,2066,2071.85,2070.62
HDFC,EQ,12-Sep-19,2071.85,2085.45,2113.85,2076.85,2082.8,2082.75,2096.43
HDFC,EQ,13-Sep-19,2082.75,2079,2092.05,2063.7,2089.85,2083.85,2075.39
HDFC,EQ,16-Sep-19,2083.85,2080,2083,2038,2044.1,2046.75,2052.4
HDFC,EQ,17-Sep-19,2046.75,2041.9,2045.5,1976.2,1995.6,1996.25,2006.18
HDFC,EQ,18-Sep-19,1996.25,2010,2012.4,1982.4,1988.85,1988.3,1993.65
HDFC,EQ,19-Sep-19,1988.3,1988.3,2002.3,1964.1,1972.5,1974.6,1985.51
HDFC,EQ,20-Sep-19,1974.6,1983.9,2065,1960,2050.65,2049.3,2038.33
HDFC,BL,23-Sep-19,1987.55,2045,2045,2045,2045,2045,2045
HDFC,EQ,23-Sep-19,2049.3,2085,2194.8,2080,2159.9,2162,2146.38
HDFC,EQ,24-Sep-19,2162,2159.9,2185,2114.25,2131,2130,2138.91
HDFC,EQ,25-Sep-19,2130,2127.05,2127.05,2050.25,2067.85,2069.95,2071.36
HDFC,EQ,26-Sep-19,2069.95,2070.1,2088,2053.8,2065.9,2063.2,2068.89
HDFC,EQ,27-Sep-19,2063.2,2061.25,2096.7,2025.6,2034,2035.9,2061.64
HDFC,EQ,30-Sep-19,2035.9,2035.9,2038.5,1970.05,1977.05,1977.05,1989.56
HDFC,EQ,1-Oct-19,1977.05,1988,2028.95,1962.95,1991.85,1995.65,1994.56
HDFC,EQ,3-Oct-19,1995.65,1990,1999,1951.25,1976.45,1974.55,1971.84
HDFC,EQ,4-Oct-19,1974.55,1992,2016.9,1972.6,1975.05,1978.3,1995.84
HDFC,EQ,7-Oct-19,1978.3,1988.5,1996.8,1963.05,1969,1969.3,1982.09
HDFC,EQ,9-Oct-19,1969.3,1974.85,2005,1964.35,2005,2002,1986.41
HDFC,EQ,10-Oct-19,2002,2000,2000,1971,1987.2,1987.95,1982.85
HDFC,EQ,11-Oct-19,1987.95,1997.95,2025.5,1980.25,2007,2010.15,2006.03
HDFC,EQ,14-Oct-19,2010.15,2017,2031.85,2000,2009,2014.75,2019.41
HDFC,EQ,15-Oct-19,2014.75,2019,2030.4,2009.2,2013,2013.3,2019.15
HDFC,EQ,16-Oct-19,2013.3,2020,2056,2015,2051.8,2048.7,2035.75
HDFC,EQ,17-Oct-19,2048.7,2056.95,2095,2050.1,2085.45,2089.75,2076.46
HDFC,EQ,18-Oct-19,2089.75,2089,2102,2065.1,2096,2094.45,2085.63
HDFC,EQ,22-Oct-19,2094.45,2115,2140.5,2096,2116,2114.9,2116.25
HDFC,EQ,23-Oct-19,2114.9,2116,2148,2104.7,2144.2,2142.95,2131.25
HDFC,EQ,24-Oct-19,2142.95,2150,2174.2,2141.35,2145.15,2144.95,2153.35
HDFC,EQ,25-Oct-19,2144.95,2149,2153.45,2085.25,2101,2101.55,2108.03
HDFC,EQ,27-Oct-19,2101.55,2114.95,2120,2096.8,2103.9,2105.35,2107.65
HDFC,EQ,29-Oct-19,2105.35,2095,2123.55,2079.05,2114.75,2113.05,2102.35
HDFC,EQ,30-Oct-19,2113.05,2134.95,2134.95,2102.6,2103,2107.45,2114.9
HDFC,EQ,31-Oct-19,2107.45,2115,2146.8,2103.65,2137,2131.9,2124.17
HDFC,EQ,1-Nov-19,2131.9,2135.9,2167.25,2120.1,2130.8,2128.6,2142.57
HDFC,EQ,4-Nov-19,2128.6,2140.9,2195,2121.1,2179.8,2181.3,2160.09
HDFC,EQ,5-Nov-19,2181.3,2207.1,2209.8,2164.7,2182.55,2181.3,2185.07
HDFC,EQ,6-Nov-19,2181.3,2188,2228,2162,2221,2220.6,2196.72
HDFC,EQ,7-Nov-19,2220.6,2247.4,2264.8,2236.2,2250,2251,2252.2
HDFC,EQ,8-Nov-19,2251,2242.95,2252.5,2211,2230,2233.2,2238.65
HDFC,EQ,11-Nov-19,2233.2,2228,2239.8,2216,2236.15,2234.55,2229.58
HDFC,EQ,13-Nov-19,2234.55,2227.95,2231.95,2195.45,2207.45,2207.45,2217.78
HDFC,EQ,14-Nov-19,2207.45,2207.9,2232.85,2190.2,2222.8,2226.8,2213.8
HDFC,EQ,15-Nov-19,2226.8,2220.1,2238.75,2208,2226,2224.05,2222.09
HDFC,EQ,18-Nov-19,2224.05,2222.5,2240.85,2210,2239,2236.3,2225.34
HDFC,EQ,19-Nov-19,2236.3,2235.6,2238.75,2202.2,2215.7,2212.1,2218.28
HDFC,EQ,20-Nov-19,2212.1,2215,2221,2193.75,2196,2200.95,2207.67
HDFC,EQ,21-Nov-19,2200.95,2202,2216,2186.2,2210.4,2210.35,2201.62
HDFC,EQ,22-Nov-19,2210.35,2203,2240,2199.3,2240,2237.3,2225.04
HDFC,EQ,25-Nov-19,2237.3,2244.75,2297,2227.4,2294,2294.55,2276.5
HDFC,EQ,26-Nov-19,2294.55,2300,2320,2280.95,2298.8,2304.65,2305.93
HDFC,EQ,27-Nov-19,2304.65,2316,2352,2308.4,2336,2336.3,2331.64
HDFC,EQ,28-Nov-19,2336.3,2339,2346,2295,2307.9,2309.75,2314.53
HDFC,EQ,29-Nov-19,2309.75,2309.75,2316.35,2280.1,2296,2297.25,2292.8
HDFC,EQ,2-Dec-19,2297.25,2316,2316,2263.9,2306.65,2306.6,2298.6
HDFC,EQ,3-Dec-19,2306.6,2310.95,2325,2287.05,2321.9,2319.7,2307.07
HDFC,EQ,4-Dec-19,2319.7,2311.2,2328.7,2286.4,2317,2322.4,2307.9
HDFC,EQ,5-Dec-19,2322.4,2309.2,2333.55,2300,2321.25,2327.55,2319.06
HDFC,EQ,6-Dec-19,2327.55,2326.5,2335,2246.45,2262,2264.65,2280.19
HDFC,EQ,9-Dec-19,2264.65,2263.1,2315.45,2260.05,2308,2311.4,2292.63
HDFC,EQ,10-Dec-19,2311.4,2318.5,2332.9,2288.15,2288.55,2295.15,2309.76
HDFC,EQ,11-Dec-19,2295.15,2302,2328.25,2292.7,2320.15,2321.65,2308.79
HDFC,EQ,12-Dec-19,2321.65,2320.8,2327,2303,2317.25,2318.45,2314.22
HDFC,EQ,13-Dec-19,2318.45,2330.7,2365.95,2318.1,2351.2,2354.5,2348.4
HDFC,EQ,16-Dec-19,2354.5,2356,2384,2343,2375.95,2375.25,2371.46
HDFC,EQ,17-Dec-19,2375.25,2365,2436.55,2359.4,2426.25,2430.1,2410.92
HDFC,EQ,18-Dec-19,2430.1,2427,2459.3,2415.8,2443.5,2445.15,2442.95
HDFC,EQ,19-Dec-19,2445.15,2432.1,2438.5,2405.65,2412.1,2411.9,2421.69
HDFC,EQ,20-Dec-19,2411.9,2415,2425,2378.15,2403.5,2404.1,2399.49
HDFC,EQ,23-Dec-19,2404.1,2404,2433.8,2390,2432,2422.65,2410.86
HDFC,EQ,24-Dec-19,2422.65,2420.6,2444.95,2402.95,2413,2412.75,2428.41
HDFC,EQ,26-Dec-19,2412.75,2412.75,2433.35,2404.3,2416.6,2414.1,2418.84
HDFC,EQ,27-Dec-19,2414.1,2427,2449.55,2418.55,2443,2444.15,2439.89
HDFC,EQ,30-Dec-19,2444.15,2449,2450,2421.5,2440,2438.25,2432.8
HDFC,EQ,31-Dec-19,2438.25,2433,2435,2406.55,2413.05,2412.55,2421.79
HDFC,EQ,1-Jan-20,2412.55,2418,2438.5,2409,2435.75,2433.95,2425.83
HDFC,EQ,2-Jan-20,2433.95,2430,2472.75,2422,2469.9,2466.4,2450.7
